Product,Condition,Price,Item Number
Grey BYU-I Winter Hat,GOOD,$0.50,75327
hand held mixer 3 speed,GOOD,$1.75,76090
Hanging projector scissor lift,POOR,$50.00,76313
Hard Drive Enclosure,FAIR,$3.75,75970
HP ProDesk G1,FAIR,$15.00,76246
"Hydraulic  Reservoir  with cart    reservoir dims. 22"" wide    18"" deep    20"" high",GOOD,$50.00,72628
Ice Dispenser,GOOD,$768.75,76135
iClicker Base Station,POOR,$0.50,73161
"iMac 21"" 2017",FAIR,$250.00,76814
iPad or Tablet Otterbox case,GOOD,$1.25,75299
Jenny Lounge chairs,UNKNOWN,$6.25,75476
JLab Audio Go Air True Wireless Earbuds + Charging Case (Does not include right earbud),GOOD,$2.50,75312
Just One You Made by Carter's 6M Swimming Shirt Grey,GOOD,$0.75,74699
Knit Gray Beanie,GOOD,$0.75,74545
Labconco Paramount Filtered Enclosure stand,EXCELLENT,"$1,000.00",76752
LAPTOP - Small AC Adaptors,FAIR,$5.00,52303
Large AC Adaptors,FAIR,$15.00,52304
"Man Swimming Shorts Brand: Speedo Size M and (Blue, white, Grey)",GOOD,$0.75,75292
Milnor 55LB commercial washing machine,FAIR,$400.00,76685
Milnor 55LB commercial washing machine,FAIR,$400.00,76686
mop bucket,UNKNOWN,$0.75,76048
Morgana Digifold Pro Folding/Scoring Machine,FAIR,"$7,500.00",76843
Nike Biker Shorts Size 36 Black and Grey,GOOD,$0.75,74536
Nike Black Jacket Size L,GOOD,$1.75,75321
Nike Soccer Shoes,GOOD,$5.75,76167
Nike Woman Swimming Suit (Blue Navy) Size 34,GOOD,$0.75,75296
OIC 2 unit stackable Wall File System,EXCELLENT,$3.00,75376
Old Monitor,FAIR,$2.50,75974
Old Monitor,FAIR,$1.25,75975
Opticon Optical Scanner,UNKNOWN,$12.50,75707
Organic Chemistry Student Solutions,GOOD,$1.25,76197
ORO Traditional Domed Gold-Plated Tungsten Carbide Wedding Ring SIZE 11 OR 12,GOOD,$16.25,75281
PCI Express Enclosure,FAIR,$37.50,75969
Pink sunglasses,GOOD,$0.50,75310
Pioneer DVD Player (DV-606D),FAIR,$3.75,76124
Pioneer DVD Player (DV-606D),FAIR,$3.75,76129
Plastic Water Bottle 16OZ Gray Lid,GOOD,$0.50,75287
Policy Analysis and Program Evaluation,GOOD,$1.25,76184
RCA Audio cables,VARIES,$1.00,58227
Red Beanie,GOOD,$0.50,76229
Red Sylvania fluorescent light bulb,GOOD,$2.50,73006
Remember Your ABCs Poster w Frame,EXCELLENT,$0.50,76072
Shorts,GOOD,$0.50,76164
Silver Ring with Stars Around It Size 10,GOOD,$0.25,74274
Simple Modern Midnight Black Summit Water Bottle with Flip Lid,GOOD,$0.75,75323
Single Pan Cold Well Drop In for Cabinet,GOOD,$62.50,76136
Skullcandy Earbuds with Mic - Red and Grey,GOOD,$1.25,75313
Softball Jersey - Gold,GOOD,$1.25,75684
Softball Uniforms - Navy,GOOD,$1.25,75686
Sold by the case furnace filters,EXCELLENT,$8.00,76257
speaker stands & bag,FAIR,$1.25,76103
Sports O Zone Machine,GOOD,$500.00,75693
Square Large Earings,GOOD,$0.25,75282
Stars golden bracelet,GOOD,$0.12,75322
study carol,FAIR,$1.25,76081
Tango 24; 24-bit converter system,FAIR,$75.00,75432
TUMBLER METAL CUP (Gray. 20 OZ),GOOD,$0.75,75288
UNCSW Blue Shirt Size M,GOOD,$0.75,74529
Urban Expressions Gold Crossbody Bag,GOOD,$0.50,74385
UV Grey Beanie,GOOD,$0.50,76230
VGA Cables,GOOD,$1.00,52769
Volleyball - Franklin Soft Spike,EXCELLENT,$1.25,75677
White Neewer 2.4 GHz Wireless Remote in box original,EXCELLENT,$1.25,74697
Wrestling Singlet,GOOD,$1.25,75683
Wrestling Singlet,GOOD,$1.25,75682
Zeroxposur Jacket for Man Size XXL (Black),GOOD,$1.75,75306
