,__catalogCourseId,dateStart,pid,id,title,catalogActivationDate,name,description,id,linkedGroup
26,AGBUS180B,2016-01-01,VybnBsl2iZ,6663359b-6c4c-4230-86f0-3ad50c008857,Cash Accounting Concepts and Applications,2016-01-01,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
27,AGBUS197R,2019-01-01,4ypBox2oZ,5a70d13ad2cd722e00fcd045,Agribusiness Practicum,2018-12-21,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
28,AGBUS201,2016-01-01,EkxpBsehsZ,571aa7d3-ab06-4fe0-a2f9-2a84cd73caa8,Agricultural Financial Accounting,2016-01-01,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
29,AGBUS210,2019-01-01,N1bTSoenoZ,5a7b667dbd047e2e00e4838f,Agricultural Economics,2018-12-21,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
30,AGBUS347,2021-01-01,V1CBjgnjW,5e5415b1ff4a3825003ea25f,Agricultural Marketing,2020-12-01,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
31,AGBUS398,2016-01-01,EkxCriehjZ,0b069b51-599c-4865-83b6-dffd9f33d107,Occupational Internship,2016-01-01,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
32,AGBUS410,2019-01-01,E1Z0SolnjZ,5a7a0db7dc975c2e004af491,Agricultural Policy and Trade,2018-12-21,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
33,AGBUS420,2020-01-01,N1J8se2ob,5cd4abc01c20cf24003ead1c,Agribusiness Operations Analysis,2019-12-01,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
34,AGBUS430,2016-01-01,NklyLoxhjW,b22057e7-02f2-495e-a6a9-466dcf76582d,Agricultural Price Analysis,2016-01-01,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
35,AGBUS435,2019-01-01,4kWJ8jx3o-,5a70f817fe3c642e00618c7c,Agriculture Commodity Marketing,2018-12-21,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
36,AGBUS440,2016-01-01,41eUjenj-,756624b6-e775-4503-b8f8-91751ddec91e,Agribusiness Finance,2016-01-01,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
37,AGBUS450,2016-01-01,Nyeg8ienj-,2a248fa0-0d2a-4fd6-8811-a4cbfa6d0396,Agriculture Business Management,2016-01-01,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
38,AGBUS460,2021-01-01,Ey-e8ixhsZ,5e541a299a339b2500f4a7f0,Strategic Food and Agribusiness Management,2020-12-01,AGBUS,Agribusiness,865c52af-bfb5-4b24-a16a-959af6e340d1,578be73cf764effe0672e829
39,AGED297,2016-01-01,N1lWIjx2ib,119cb5bb-018a-41ab-9a62-b52b17493b9c,Agriculture Education Practicum,2016-01-01,AGED,Agricultural Education,576e3267-6959-4381-8400-f2ae53ead1c0,578be523f764effe0672e7ff
40,AGRON301,2019-01-01,ByV0vA8KM,5aa957ccbc10652e00c3fed9,Soil Science,2018-12-21,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
41,AGRON321,2019-01-01,NyZbUil2s-,5aa95962ccc8db2e003789b5,Soil Fertility and Plant Nutrition,2018-12-21,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
42,AGRON325,2021-01-01,NkMUjx3j-,60622fb7f1a0c60026a92a1b,Agricultural Irrigation,2020-12-01,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
43,AGRON330,2020-01-01,VkgGIog3j-,5c0fd712af59722400b264d5,Forage Crops,2019-12-01,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
44,AGRON425,2019-01-01,VyQ8oe2jW,5aaa9ca4096b872e005f262f,Soil Management,2018-12-21,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
45,AGRON430,2019-01-01,NJE8jxhib,5aaa9e08003a6b2e0080fa73,Soil Taxonomy and Genesis,2018-12-21,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
46,AGRON435,2019-01-01,EJeXUix3jW,5aa95b9eccc8db2e003789c5,Crop Science,2018-12-21,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
47,AGRON440,2022-01-01,Ekg48jg3oW,603563fadb388c0026ad0f6c,Crop Physiology,2021-12-01,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
48,AGRON445,2016-01-01,E1B8jlhiW,bac43928-160a-40bf-bb2f-8eb89d6bc358,Crop Advisor Certification,2016-01-01,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
49,AGRON460,2016-01-01,Nk-B8og3jb,646d4465-446a-4d84-8181-b65d4c2af678,Plant Pathology,2016-01-01,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
50,AGRON470,2019-01-01,4yMBUjghoW,2b4e61a9-4b5c-49e3-9cbd-8392e1d6946a,Agroecology,2018-12-21,AGRON,Agronomy,2da95804-b6b0-430e-a900-5e70cb1d812d,578be523f764effe0672e7ff
51,AGTEC110,2019-01-01,rkQnQVEYf,5aa6b3aabc10652e00c3f18f,Introduction to Agriculture Technology,2018-12-21,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
52,AGTEC125,2022-01-01,EJW8Iox2s-,6026e6596b4e4600272dd29b,Agricultural Maintenance Welding,2021-12-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
53,AGTEC186,2016-01-01,NJPLiensW,1b8bfa74-e708-4f4f-8560-5d1c1125ea9d,GPS Applications in Agriculture,2016-01-01,AGTEC,Agriculture Technology,474b96be-e6e9-4f57-92d7-2805982c6e21,578be523f764effe0672e7ff
