,id,suggestion,author,date_created,last_upvoted,comments,status,votes,Description
30,165068,Age corrections,Meg,"02 Mar, 2021",today,4,Under consideration,97,I wish the app would stop showing my age a year older just because the year switches. Starting Jan 2021 it shows I'm 29 but I'm still 28 for 6 more months. It should switch your age on your birthday or at least birthday month. I may be filtered out of some searches now.
31,165005,Share photos send photos in chat,Ejkl,"02 Mar, 2021",today,14,Under consideration,95,During a conversation with a person you should be able to send him a picture.
32,179902,Mutual games,Joe,"17 Apr, 2021",today,10,Under consideration,93,Integrate fun little online games to play with your new match.  Games to get to know each other and games to just have a little fun together.  Perhaps Church themed trivia if you must.
33,169249,Video call speed dating,Anonymous,"13 Mar, 2021",09 Aug,12,Under consideration,81,Other apps have this where a few times a week there is a 15min interval where insterested people sign in and get a random date for 3min. Then you can swipe on the person. This could even be a feature for only paying members (or you could have only guys pay for it). I'd totally pay for something like this.
34,172181,Filter those that like you,Collin,"21 Mar, 2021",10 Jul,6,Done,80,Filter the people that like you in the distance you set instead of showing everyone around the world
35,176175,Dealbreakers,Damian,"03 Apr, 2021",02 Aug,9,Done,77,"There should be an option for a 'dealbreaker' in the filters. Where they may choose to not have anyone below or above their chosen age, height, or distance filters by selecting the dealbreaker option. On the other hand, they may choose to leave the dealbreaker open and have greater chances for a match."
36,172738,Show likelyhood to respond,Josh,"23 Mar, 2021",10 Aug,8,Under consideration,76,Show me the percentage of how many people someone ignores so I dont seipenup on a ghoster
37,169296,Filter weight,Pedro,"14 Mar, 2021",08 Aug,19,Not planned,75,"If height can be a filter, then weight should be one too."
38,169448,Change unmatch reasons,Nate,"15 Mar, 2021",today,7,In Development,69,"One change I would like would be: Unmatch - without a reason I'd love to be able to unmatch without picking a reason to unmatch. Ie We went on a date and the chemistry wasn't there. Currently, the options all are like ""inappropriate bio, poor offline behavior, etc.... So I don't want to pick that if it was just a lack of chemistry. I also prefer to keep a smaller list of matches. If it's not going to work out, I don't want to see them in my matches"
39,171625,An are you dating someone thing,Mathieu Brewer,"20 Mar, 2021",today,4,Under consideration,67,I've matched w too many girls who have a bf that are 'just looking for friends' and it's annoying tbh
40,170905,Penalize ignoring a message from a match,Daniel,"18 Mar, 2021",today,18,Under consideration,66,"One of the worst things about Mutual is matching with someone, sending that person a thoughtful message, and then getting ignored. Unfortunately, this happens far too often. Possible remedies:1) Each person has a queue of, say, 5 waiting messages. Each message must be either responded to or the match removed. Once the queue is full, all new matches will be hidden. If someone removes too many matches, his/her ability to swipe is temporarily revoked.2) If someone ignores more than, say, 50% of new match messages, he/she will be forced to initiate conversations or lose the ability to see new profiles. The danger, of course, is that the system would be easy to game. Somehow each person should be incentivized to make meaningful connections, not try to rack up matches to ignore."
41,164958,Nudges or reminders,Sarah,"02 Mar, 2021",16 Jul,2,In Development,63,Reminders for people you've matched that the matches are about to expire. It should send notifications/reminders to send them a message.
42,179921,Notes should be one per day anytime i want to use it not once every 24 hrs exact,Eliot,"18 Apr, 2021",2 days ago,4,In Development,62,"It could be by date change for example not by how many hours have passed since the last time you used a note. For instance, if I use a note at 1030 p.m. on Monday night and for whatever reason want to send another at 1210 a.m. Tuesday I should be able to do that."
43,175785,Bring back old matches,Greg,"01 Apr, 2021",2 days ago,3,Under consideration,60,Be able to see people you matched with in the past to retry.
44,172670,Show approximate number of people in range,Robert,"17 Mar, 2021",today,2,Under consideration,60,"Show how many men and how many women use mutual in a selected range, can be approximate."
45,170894,Filter specific tag,Sanford Bassett,"18 Mar, 2021",02 Aug,61,Under consideration,57,The ability to see people with a specific tag (even a custom tag) would be an excellent addition.
46,184861,List view of people whove liked you,Anonymous,"12 May, 2021",11 Jul,7,Done,47,Rather than having to go one by one of those who've liked you being able to view in a list similar to bumble would be great!
47,172119,A notification sound,Bradley,"21 Mar, 2021",28 Jul,2,Planned,44,"Whenever I'm outside of the app, I don't notice notifications for sometimes hours, because my phone doesn't vibrate, and no sound goes off, until I turn my screen on and see that the notification is there"
