,id,suggestion,author,date_created,last_upvoted,comments,status,votes
69,169249,Video call speed dating,Anonymous,"13 Mar, 2021",18 Oct,14,Feedback Needed,94
70,169448,Change unmatch reasons,Nate,"15 Mar, 2021",14 Oct,9,Feedback Needed,78
71,176350,Display full name,KH,"05 Apr, 2021",14 Oct,38,Feedback Needed,76
72,172670,Show approximate number of people in range,Robert,"17 Mar, 2021",01 Nov,2,Feedback Needed,74
73,175785,Bring back old matches,Greg,"01 Apr, 2021",2 days ago,5,Feedback Needed,72
74,164958,Nudges or reminders,Sarah,"02 Mar, 2021",29 Sep,2,Feedback Needed,70
75,338157,Display where the person actually lives instead of just where that person is tra,Angie,21 Oct,today,1,Feedback Needed,5
76,334432,See notes sent and read status,Trevor,03 Oct,01 Nov,1,Feedback Needed,5
77,336290,Make notes great again,N,12 Oct,18 Oct,0,Feedback Needed,4
78,334096,Filter by school attendance,Jacob,01 Oct,19 Oct,0,Feedback Needed,4
79,337572,People who have liked me can bypass filters,Tustin,19 Oct,24 Oct,0,Feedback Needed,3
80,335574,Stop just swipe and allow more communication,Zac,08 Oct,today,0,Feedback Needed,2
81,332372,Filter by persons name,Jonathan Hansen,25 Sep,19 Oct,0,Feedback Needed,2
82,329849,Short profile videos,Samuel Roberts,15 Sep,15 Sep,1,Feedback Needed,1
83,337834,Lets talk about prompt,Virginia,20 Oct,20 Oct,0,Feedback Needed,1
84,336846,Member status filter,Tyler,14 Oct,14 Oct,0,Feedback Needed,1
85,333056,Edit a message that has been sent,Richard Bernal,27 Sep,27 Sep,0,Feedback Needed,1
86,332306,Add how many kids,Stacie Tillotson,24 Sep,24 Sep,0,Feedback Needed,1
87,328515,Delete messages,LÃ­a,11 Sep,11 Sep,0,Feedback Needed,1
88,168489,Let queer members match with other queer members,Rachel,"10 Mar, 2021",31 Oct,132,Open,1.1000
89,165279,Birthday surprise,Jefferson Glenn,"02 Mar, 2021",29 Oct,10,Open,288
90,161959,Filter has children or not,Moses,"22 Feb, 2021",13 Oct,29,Released,256
91,161947,Filter interest level,Moses,"22 Feb, 2021",19 Oct,39,Released,243
92,157427,Video chat,Moses,"03 Feb, 2021",yesterday,24,Released,190
93,175881,Free trial,Erica,"01 Apr, 2021",yesterday,26,Closed,156
94,164933,Filter temple recommend,Moses,"01 Mar, 2021",29 Oct,16,Released,145
95,161963,Filter politics,Moses,"22 Feb, 2021",19 Oct,25,Closed,143
96,164926,Share a profile,Moses,"01 Mar, 2021",19 Oct,21,Released,134
97,161966,Filter divorced,Moses,"22 Feb, 2021",01 Nov,27,Released,120
98,172738,Show likelyhood to respond,Josh,"23 Mar, 2021",13 Oct,12,Closed,88
99,169296,Filter weight,Pedro,"14 Mar, 2021",14 Oct,32,Closed,86
100,172181,Filter those that like you,Collin,"21 Mar, 2021",19 Oct,7,Closed,84
101,176175,Dealbreakers,Damian,"03 Apr, 2021",14 Oct,10,Closed,82
102,170905,Penalize ignoring a message from a match,Daniel,"18 Mar, 2021",25 Oct,26,Closed,79
103,164998,Filter ethnicity,B,"02 Mar, 2021",17 Oct,23,Closed,76
104,171625,An are you dating someone thing,Mathieu Brewer,"20 Mar, 2021",14 Oct,5,Closed,72
105,179921,Notes should be one per day anytime i want to use it not once every 24 hrs exact,Eliot,"18 Apr, 2021",10 Oct,4,Open,67
106,170894,Filter specific tag,Sanford Bassett,"18 Mar, 2021",17 Oct,61,Open,60
107,176262,Add additional location filter by state,Ryan,"04 Apr, 2021",02 Oct,8,Open,51
108,184861,List view of people whove liked you,Anonymous,"12 May, 2021",24 Sep,8,Closed,50
109,197289,Ghosting ratio,Sunny,"10 Jul, 2021",13 Oct,6,Open,49
110,170233,Group date feature,Jaden,"16 Mar, 2021",12 Sep,8,Open,48
111,172119,A notification sound,Bradley,"21 Mar, 2021",12 Sep,3,Open,48
112,253422,Description first optionally,Jackson,"03 Dec, 2021",13 Oct,3,Open,45
113,161964,Filter pets,Moses,"22 Feb, 2021",13 Oct,2,Closed,45
