,Country,Name,POS,AGE,HT,WT,Country_logo,BMI
40,Australia,Ajdin Hrustic,Midfielder,26,177.8,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,24.5
41,Australia,Jackson Irvine,Midfielder,29,187.96,76.6,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,21.7
42,Australia,Riley McGree,Midfielder,24,177.8,71.7,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,22.7
43,Australia,Aaron Mooy,Midfielder,32,172.72,71.7,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,24.0
44,Australia,Jason Cummings,Forward,27,177.8,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,21.4
45,Australia,Mitchell Duke,Forward,31,180.34,83.9,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,25.8
46,Australia,Craig Goodwin,Forward,30,182.88,71.7,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,21.4
47,Australia,Garang Kuol,Forward,18,172.72,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,22.7
48,Australia,Mathew Leckie,Forward,31,180.34,83.9,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,25.8
49,Australia,Awer Mabil,Forward,27,177.8,64.9,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,20.5
50,Australia,Jamie MacLaren,Forward,29,177.8,71.7,https://b.fssta.com/uploads/application/countries/flag-logos/36.vresize.350.350.medium.0.png,22.7
52,Belgium,Koen Casteels,Goalkeeper,30,195.58,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,20.3
53,Belgium,Thibaut Courtois,Goalkeeper,30,198.12,95.7,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,24.4
54,Belgium,Simon Mignolet,Goalkeeper,34,190.5,86.6,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.9
55,Belgium,Toby Alderweireld,Defender,33,185.42000000000002,80.7,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.5
56,Belgium,Zeno Debast,Defender,19,187.96,72.6,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,20.5
57,Belgium,Leander Dendoncker,Defender,27,187.96,82.5,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.4
58,Belgium,Wout Faes,Defender,24,185.42000000000002,83.9,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,24.4
59,Belgium,Arthur Theate,Defender,22,182.88,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.2
60,Belgium,Jan Vertonghen,Defender,35,187.96,78.9,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,22.3
61,Belgium,Timothy Castagne,Midfielder,26,182.88,79.8,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.9
62,Belgium,Kevin De Bruyne,Midfielder,31,180.34,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,20.8
63,Belgium,Thorgan Hazard,Midfielder,29,172.72,70.7,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.7
64,Belgium,Thomas Meunier,Midfielder,31,187.96,89.8,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,25.4
65,Belgium,Amadou Mvom Onana,Midfielder,21,190.5,75.7,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,20.9
66,Belgium,Youri Tielemans,Midfielder,25,175.26,71.7,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.3
67,Belgium,Hans Vanaken,Midfielder,30,193.04,76.6,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,20.6
68,Belgium,Axel Witsel,Midfielder,33,185.42000000000002,80.7,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.5
69,Belgium,Michy Batshuayi,Forward,29,182.88,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.2
70,Belgium,Yannick Carrasco,Forward,29,177.8,66.7,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,21.1
71,Belgium,Charles De Ketelaere,Forward,21,190.5,73.9,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,20.4
72,Belgium,Jeremy Doku,Forward,20,172.72,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,22.7
73,Belgium,Eden Hazard,Forward,31,172.72,73.9,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,24.8
74,Belgium,Romelu Lukaku,Forward,29,187.96,93.0,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,26.3
75,Belgium,Dries Mertens,Forward,35,167.64000000000001,60.8,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,21.6
76,Belgium,Lois Openda,Forward,22,172.72,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,23.4
77,Belgium,Leandro Trossard,Forward,27,170.18,60.8,https://b.fssta.com/uploads/application/countries/flag-logos/56.vresize.350.350.medium.0.png,21.0
78,Brazil,Alisson,Goalkeeper,30,190.5,90.7,https://b.fssta.com/uploads/application/countries/flag-logos/76.vresize.350.350.medium.0.png,25.0
