Country,Name,POS,AGE,HT,WT
Cameroon,Olivier Mbaizo,Defender,25,177.8,69.8
Cameroon,Nicolas N`Koulou,Defender,32,182.88,76.6
Cameroon,Jerome Ngom Mbekeli,Defender,24,172.72,69.8
Cameroon,Nouhou Tolo,Defender,25,177.8,78.9
Cameroon,Christopher Wooh,Defender,21,190.5,89.8
Cameroon,Martin Hongla,Midfielder,24,180.34,76.6
Cameroon,Pierre Kunde,Midfielder,27,177.8,85.7
Cameroon,Souaibou Marou,Midfielder,21,177.8,77.6
Cameroon,Georges-Kevin N’Koudou,Midfielder,27,170.18,74.8
Cameroon,Olivier Ntcham,Midfielder,26,177.8,79.8
Cameroon,Gael Ondua,Midfielder,27,182.88,78.9
Cameroon,Samuel Oum Gouet,Midfielder,24,182.88,74.8
Cameroon,Andre Zambo Anguissa,Midfielder,27,182.88,77.6
Cameroon,Vincent Aboubakar,Forward,30,175.26,78.9
Cameroon,Christian Bassogog,Forward,27,177.8,74.8
Cameroon,Eric Maxim Choupo-Moting,Forward,33,190.5,89.8
Cameroon,Karl Toko Ekambi,Forward,30,182.88,77.6
Cameroon,Bryan Mbeumo,Forward,23,172.72,63.9
Cameroon,Nicolas Moumi Ngamaleu,Forward,28,180.34,73.9
Cameroon,Jean-Pierre Nsame,Forward,29,187.96,88.9
Canada,Milan Borjan,Goalkeeper,35,193.04,82.5
Canada,James Pantemis,Goalkeeper,25,182.88,75.7
Canada,Dayne St. Clair,Goalkeeper,25,190.5,74.8
Canada,Sam Adekugbe,Defender,27,172.72,74.8
Canada,Derek Cornelius,Defender,25,185.42000000000002,85.7
Canada,Alistair Johnston,Defender,24,177.8,76.6
Canada,Richie Laryea,Defender,27,172.72,67.6
Canada,Kamal Miller,Defender,25,182.88,74.8
Canada,Steven Vitoria,Defender,35,193.04,85.7
Canada,Joel Waterman,Defender,26,182.88,73.9
Canada,Stephen Eustaquio,Midfielder,25,177.8,69.8
Canada,Liam Fraser,Midfielder,24,182.88,80.7
Canada,Junior Hoilett,Midfielder,32,172.72,69.8
Canada,Atiba Hutchinson,Midfielder,39,182.88,82.5
Canada,Mark-Anthony Kaye,Midfielder,27,182.88,69.8
Canada,Ismael Kone,Midfielder,20,187.96,75.7
Canada,Liam Millar,Midfielder,23,175.26,71.7
Canada,Jonathan Osorio,Midfielder,30,172.72,72.6
Canada,Samuel Piette,Midfielder,28,170.18,72.6
Canada,David Wotherspoon,Midfielder,32,170.18,75.7
Canada,Tajon Buchanan,Forward,23,182.88,70.7
Canada,Lucas Cavallini,Forward,29,177.8,85.7
Canada,Jonathan David,Forward,22,172.72,69.8
Canada,Alphonso Davies,Forward,22,182.88,74.8
Canada,Cyle Larin,Forward,27,187.96,89.8
Canada,Ike Ugbo,Forward,24,182.88,78.9
Costa rica,Esteban Alvarado Brown,Goalkeeper,33,190.5,88.0
Costa rica,Keylor Navas,Goalkeeper,35,182.88,79.8
Costa rica,Patrick Sequeira,Goalkeeper,23,187.96,83.9
Costa rica,Francisco Calvo,Defender,30,177.8,77.6
Costa rica,Oscar Duarte,Defender,33,185.42000000000002,80.7
Costa rica,Keysher Fuller Spence,Defender,28,182.88,77.6
Costa rica,Carlos Martinez,Defender,23,175.26,69.8
Costa rica,Ronald Matarrita,Defender,28,172.72,69.8
Costa rica,Bryan Oviedo,Defender,32,170.18,69.8
Costa rica,Juan Pablo Vargas,Defender,27,190.5,88.0
Costa rica,Kendall Waston,Defender,34,195.58,86.6
Costa rica,Brandon Aguilera,Midfielder,19,177.8,67.6
Costa rica,Jewison Bennette,Midfielder,18,172.72,67.6
