,Estacion,Propietario,Operador,Región,Provincia,Comuna,Coordenadas UTM,Huso horario,Recepción de datos,Inicio de operación reportada,Fin de operación reportada
34,Escuela Gabriela Mistral,Norgener S.A,CIMM Tecnologías y Servicios S.A.,de Antofagasta,Tocopilla,Tocopilla,376518 E 7556323 N,19,carga manual,2004-06-12,
10,Estación Centro,Codelco Distrito Norte,SGS Chile Ltda.,de Antofagasta,El Loa,Calama,507389 E 7516053 N,19,en línea,2013-01-01,
23,Ferrocarriles,EDELNOR S.A.,SGS Chile Ltda.,de Antofagasta,Antofagasta,Mejillones,350205 E 7444908 N,19,carga manual,1997-01-02,
198,Fundo La Ribera,Celulosa Arauco y Constitución,Luís Alexis Ortiz Romero,de los Ríos,Valdivia,Máfil,678287 E 5620971 N,19,carga manual,2008-01-01,
28,Gobernación,Norgener S.A,CESMEC S.A,de Antofagasta,Tocopilla,Tocopilla,376284 E 7556725 N,19,en línea,2011-10-01,
64,Hospital,Compañía Minera Dayton,Algoritmos y Mediciones Ambientales SpA,de Coquimbo,Elqui,Andacollo,299236 E 6654140 N,19,en línea,2006-02-22,
18,Hospital,SQM Industrial S.A.,SQM Industrial S.A.,de Antofagasta,Tocopilla,María Elena,509243 E 7516913 N,19,carga manual,1997-04-02,
11,Hospital el Cobre,Codelco Distrito Norte,SGS Chile Ltda.,de Antofagasta,El Loa,Calama,509239 E 7516917 N,19,en línea,2002-01-01,
75,Hotel Mina,Minera Los Pelambres,SGS Chile Ltda.,de Coquimbo,Choapa,Salamanca,354828 E 6482864 N,19,carga manual,2003-05-07,
170,Hualqui,Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Concepción,Hualqui,684073 E 5905626 N,18,en línea,2009-01-01,
53,Huasco II,Compañia Minera del Pacifico,Serpram S.A,de Atacama,Huasco,Huasco,281581 E 6849067 N,19,en línea,2013-08-01,
48,Huasco Sivica,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Atacama,Huasco,Huasco,282682 E 6848727 N,19,en línea,2014-02-07,
154,"INIA, Chillán",Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Ñuble,Chillán,760382 E 5946127 N,18,en línea,2004-05-01,
19,Iglesia,SQM Industrial S.A.,SQM Industrial S.A.,de Antofagasta,Tocopilla,María Elena,431963 E 7528848 N,19,carga manual,1997-04-02,
118,Independencia,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Independencia,346488 E 6300681 N,19,en línea,1997-03-07,
186,Indura,ENAP,CESMEC S.A,del Biobío,Concepción,Talcahuano,668339 E 5928983 N,18,en línea,2004-07-01,
187,Inpesca,ENAP,CESMEC S.A,del Biobío,Concepción,Talcahuano,669252 E 5932595 N,18,en línea,2004-07-01,
44,Intelec,Codelco Divsión El Salvador,NO INFORMADO,de Atacama,Chañaral,Diego de Almagro,440479 E 7094145 N,19,carga manual,2004-01-18,
169,JUNJI,ENAP,CESMEC S.A,del Biobío,Concepción,Hualpén,668154 E 5927794 N,18,en línea,2004-07-01,
20,Jardín Infantil Integra,ENAEX S.A. Planta Prillex América,Algoritmos y Mediciones Ambientales SpA,de Antofagasta,Antofagasta,Mejillones,352064 E 7444407 N,19,en línea,2000-01-01,
21,Juan Jose Latorre,ENAEX S.A. Planta Prillex América,Algoritmos y Mediciones Ambientales SpA,de Antofagasta,Antofagasta,Mejillones,352346 E 7444100 N,19,en línea,2010-01-01,
87,Junta de Vecinos,ENAP,SGS Chile Ltda.,de Valparaíso,Valparaíso,Concón,263944 E 6353098 N,19,en línea,2002-05-01,
