,Estacion,Propietario,Operador,Región,Provincia,Comuna,Coordenadas UTM,Huso horario,Recepción de datos,Inicio de operación reportada,Fin de operación reportada
59,Tierra Amarilla,ENAMI Fundición Hernán Videla Lira,Algoritmos y Mediciones Ambientales SpA,de Atacama,Copiapó,Tierra Amarilla,6960567 E 375128 N,19,en línea,1992-10-01,
140,Totihue,Saint Gobain Envases S.A,CESMEC S.A,del Libertador General Bernardo O'Higgins,Cachapoal,Requinoa,335025 E 6199971 N,19,carga manual,2006-07-01,
206,Trapén Norte,ENLASA Generación Chile S.A.,Ambiente y Tecnología,de los Lagos,Llanquihue,Puerto Montt,661451 E 5402767 N,18,carga manual,2009-03-03,
207,Trapén Sur,ENLASA Generación Chile S.A.,Ambiente y Tecnología,de los Lagos,Llanquihue,Puerto Montt,659539 E 5401873 N,19,carga manual,2009-03-24,
30,Tres Marias,Norgener S.A,CESMEC S.A,de Antofagasta,Tocopilla,Tocopilla,377485 E 7560029 N,19,en línea,2015-11-05,
147,U.C. Maule,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Maule,Talca,Talca,262216 E 6075477 N,19,en línea,2013-03-21,
148,Universidad de Talca,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Maule,Talca,Talca,260878 E 6078683 N,19,en línea,2013-01-01,
65,Urmeneta - Plaza Centenario,Compañía Minera Teck Carmen de Andacollo,Compañia Minera Teck Carmen de Andacollo,de Coquimbo,Elqui,Andacollo,299480 E 6653245 N,19,en línea,2005-01-02,
200,Valdivia,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de los Ríos,Valdivia,Valdivia,651593 E 5589460 N,18,en línea,2008-01-17,
201,Valdivia 2,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de los Ríos,Valdivia,Valdivia,649060 E 5592376 N,18,en línea,2018-11-03,
111,Valle Alegre,Codelco División Ventanas- AESGENER.S.A,SGS Chile Ltda.,de Valparaíso,Valparaíso,Quintero,271889 E 6367413 N,19,en línea,1992-07-01,
112,Valparaiso,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Valparaíso,Valparaíso,Valparaíso,255891 E 6340183 N,19,en línea,2013-11-07,
97,Ventanas,Codelco División Ventanas- AESGENER.S.A,SGS Chile Ltda.,de Valparaíso,Valparaíso,Puchuncaví,267547 E 6474609 N,19,en línea,2013-01-01,
209,Vialidad,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Aysén del General Carlos Ibáñez del Campo,Aysén,Aysén,680977 E 4969547 N,18,en línea,2017-10-20,
17,Villa Caspana,Codelco Distrito Norte,CIMM Tecnologías y Servicios S.A.,de Antofagasta,El Loa,Calama,507410 E 7514595 N,19,carga manual,1994-05-02,2008-04-08
199,Vivero Los Castaños,Celulosa Arauco y Constitución,Luís Alexis Ortiz Romero,de los Ríos,Valdivia,Máfil,660388 E 5601696 N,19,carga manual,2008-01-01,
113,Viña del Mar,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Valparaíso,Valparaíso,Viña del Mar,261803 E 6343569 N,19,en línea,2004-07-01,
193,Ñielol,Ministerio del Medio Ambiente,Sub Secretaria del Medio Ambiente,de La Araucanía,Cautín,Temuco,710378 E 5710745 N,18,en línea,2017-05-10,
