data-auction-id,product-name,current_bid,cost_per_unit,bids_number,data-end-time,product-info
103121,"Truckload (21 Pallet Spaces) of Outdoor Living, Sporting Goods & More, 343 Units, Ext. Retail $16,403, Spartanburg, SC, 100 Miles Free Shipping",3010,8.78,22,"Tue, 27 Dec 2022 15:40:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103121/
103122,"4 Pallet Spaces of Home Management, Home Decor & More, 261 Units, Ext. Retail $6,521, Taylors, SC, 100 Miles Free Shipping",101,0.39,4,"Tue, 27 Dec 2022 15:45:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103122/
103161,"1 Pallet Space of Home Entertainment, 131 Units, Ext. Retail $9,457, Johnstown, NY, 100 Miles Free Shipping",2500,19.08,6,"Wed, 28 Dec 2022 12:00:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103161/
103162,"Truckload (20 Pallet Spaces) of Furniture & Luggage, Home Management & More, 248 Units, Ext. Retail $24,167, Johnstown, NY, 100 Miles Free Shipping",2025,8.17,5,"Wed, 28 Dec 2022 12:05:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103162/
103163,"Truckload (20 Pallet Spaces) of Bikes & Ride Ons, 159 Units, Ext. Retail $20,405, Johnstown, NY, 100 Miles Free Shipping",2325,14.62,22,"Wed, 28 Dec 2022 12:10:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103163/
103164,"9 Pallet Spaces of UNMANIFESTED Salvage TVs, Johnstown, NY",1,1.00,0,"Wed, 28 Dec 2022 12:15:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103164/
103165,"Truckload (21 Pallet Spaces) of Furniture & Luggage, Sporting Goods & More, 238 Units, Ext. Retail $23,054, Johnstown, NY, 100 Miles Free Shipping",625,2.63,5,"Wed, 28 Dec 2022 12:20:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103165/
103166,"Truckload (22 Pallet Spaces) of UNMANIFESTED Salvage TVs, Johnstown, NY",1,1.00,0,"Wed, 28 Dec 2022 12:25:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103166/
103167,"Truckload (20 Pallet Spaces) of Furniture & Luggage, Sporting Goods & More, 147 Units, Ext. Retail $19,064, Johnstown, NY, 100 Miles Free Shipping",2075,14.12,5,"Wed, 28 Dec 2022 12:30:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103167/
103168,"Truckload (12 Pallet Spaces) of UNMANIFESTED Salvage TVs, Johnstown, NY",1,1.00,1,"Wed, 28 Dec 2022 12:35:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103168/
103169,"5 Pallet Spaces of Toys & Bikes, Home Decor & More, 518 Units, Ext. Retail $14,619, Johnstown, NY, 100 Miles Free Shipping",1025,1.98,14,"Wed, 28 Dec 2022 12:40:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103169/
103170,"5 Pallet Spaces of Seasonal, Home Management & More, 460 Units, Ext. Retail $12,237, Johnstown, NY, 100 Miles Free Shipping",475,1.03,10,"Wed, 28 Dec 2022 12:45:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103170/
103171,"5 Pallet Spaces of Toys & Bikes, Home Management & More, 436 Units, Ext. Retail $11,618, Johnstown, NY, 100 Miles Free Shipping",1650,3.78,5,"Wed, 28 Dec 2022 12:50:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103171/
103181,"7 Pallet Spaces of UNMANIFESTED Salvage TVs, Johnstown, NY",1,1.00,0,"Wed, 28 Dec 2022 12:55:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103181/
103172,"Truckload (22 Pallet Spaces) of Toys & Bikes, Sporting Goods & More, 369 Units, Ext. Retail $21,407, Spartanburg, SC, 100 Miles Free Shipping",2025,5.49,9,"Wed, 28 Dec 2022 13:00:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103172/
103173,"Truckload (21 Pallet Spaces) of Furniture, 120 Units, Ext. Retail $19,687, Spartanburg, SC, 100 Miles Free Shipping",2125,17.71,12,"Wed, 28 Dec 2022 13:03:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103173/
103174,"6 Pallet Spaces of Bikes & Ride Ons, 21 Units, Ext. Retail $3,807, Taylors, SC, 100 Miles Free Shipping",775,36.90,12,"Wed, 28 Dec 2022 13:06:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103174/
103175,"5 Pallet Spaces of UNMANIFESTED Furniture, Spartanburg, SC, 100 Miles Free Shipping",125,125.00,4,"Wed, 28 Dec 2022 13:09:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103175/
103176,"Truckload (20 Pallet Spaces) of Sporting Goods, Toys & Bikes & More, 221 Units, Ext. Retail $18,477, Spartanburg, SC, 100 Miles Free Shipping",1525,6.90,12,"Wed, 28 Dec 2022 13:12:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103176/
103177,"Truckload (26 Pallet Spaces) of Furniture, 113 Units, Ext. Retail $15,713, Spartanburg, SC, 100 Miles Free Shipping",645,5.71,14,"Wed, 28 Dec 2022 13:15:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103177/
103178,"1 Pallet Space of Furniture, 22 Units, Ext. Retail $1,092, Taylors, SC, 100 Miles Free Shipping",175,7.95,7,"Wed, 28 Dec 2022 13:18:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103178/
103179,"5 Pallet Spaces of TVs & Consumer Electronics, Seasonal & More, 60 Units, Ext. Retail $3,819, Spartanburg, SC, 100 Miles Free Shipping",50,0.83,2,"Wed, 28 Dec 2022 13:21:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103179/
103154,"Truckload (26 Pallet Spaces) of Sporting Goods, Toys & Bikes & More, 696 Units, Ext. Retail $28,522, Waco, TX, 100 Miles Free Shipping",825,1.19,7,"Wed, 28 Dec 2022 13:30:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103154/
103155,"Truckload (24 Pallet Spaces) of Furniture, 122 Units, Ext. Retail $19,815, Waco, TX, 100 Miles Free Shipping",51,0.42,2,"Wed, 28 Dec 2022 13:33:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103155/
103156,"Truckload (20 Pallet Spaces) of UNMANIFESTED Salvage TVs, Waco, TX",1,1.00,1,"Wed, 28 Dec 2022 13:36:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103156/
103157,"Truckload (26 Pallet Spaces) of Toys & Bikes, Home Decor & More, 488 Units, Ext. Retail $26,176, Waco, TX, 100 Miles Free Shipping",525,1.08,3,"Wed, 28 Dec 2022 13:39:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103157/
103158,"Truckload (23 Pallet Spaces) of Furniture, 140 Units, Ext. Retail $14,261, Waco, TX, 100 Miles Free Shipping",1,0.01,1,"Wed, 28 Dec 2022 13:42:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103158/
103159,"Truckload (26 Pallet Spaces) of Sporting Goods, Home Decor & More, 295 Units, Ext. Retail $24,521, Waco, TX, 100 Miles Free Shipping",150,0.51,3,"Wed, 28 Dec 2022 13:45:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103159/
103160,"Truckload (26 Pallet Spaces) of Sporting Goods, Toys & Bikes & More, 461 Units, Ext. Retail $24,165, Waco, TX, 100 Miles Free Shipping",1025,2.22,4,"Wed, 28 Dec 2022 13:48:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103160/
103180,"Truckload (26 Pallet Spaces) of Furniture, 118 Units, Ext. Retail $15,257, Waco, TX, 100 Miles Free Shipping",75,0.64,2,"Wed, 28 Dec 2022 13:51:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103180/
103138,"1 Pallet Space of Home Entertainment, 44 Units, Ext. Retail $2,115, Indianapolis, IN, 100 Miles Free Shipping",225,5.11,5,"Wed, 28 Dec 2022 14:00:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103138/
103139,"Truckload (23 Pallet Spaces) of Home Decor, Toys & Bikes & More, 928 Units, Ext. Retail $31,940, Indianapolis, IN, 100 Miles Free Shipping",3136,3.38,7,"Wed, 28 Dec 2022 14:03:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103139/
103140,"Truckload (24 Pallet Spaces) of Furniture, 115 Units, Ext. Retail $14,827, Indianapolis, IN, 100 Miles Free Shipping",51,0.44,3,"Wed, 28 Dec 2022 14:06:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103140/
103141,"Truckload (20 Pallet Spaces) of UNMANIFESTED Salvage TVs, Indianapolis, IN",1,1.00,1,"Wed, 28 Dec 2022 14:09:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103141/
103142,"5 Pallet Spaces of Stationery, Toys & Bikes & More, 262 Units, Ext. Retail $23,260, Indianapolis, IN, 100 Miles Free Shipping",576,2.20,5,"Wed, 28 Dec 2022 14:12:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103142/
103143,"Truckload (24 Pallet Spaces) of Furniture, 90 Units, Ext. Retail $13,389, Indianapolis, IN, 100 Miles Free Shipping",51,0.57,3,"Wed, 28 Dec 2022 14:15:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103143/
103144,"Truckload (14 Pallet Spaces) of UNMANIFESTED Salvage TVs, Indianapolis, IN",175,175.00,3,"Wed, 28 Dec 2022 14:18:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103144/
103145,"Truckload (21 Pallet Spaces) of Home Decor, Outdoor Living & More, 509 Units, Ext. Retail $20,598, Indianapolis, IN, 100 Miles Free Shipping",800,1.57,7,"Wed, 28 Dec 2022 14:21:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103145/
103146,"Truckload (24 Pallet Spaces) of Furniture, 83 Units, Ext. Retail $12,885, Indianapolis, IN, 100 Miles Free Shipping",125,1.51,4,"Wed, 28 Dec 2022 14:24:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103146/
103147,"Truckload (20 Pallet Spaces) of UNMANIFESTED Salvage TVs, Indianapolis, IN",1,1.00,1,"Wed, 28 Dec 2022 14:27:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103147/
103148,"5 Pallet Spaces of Toys & Bikes, Outdoor Living & More, 144 Units, Ext. Retail $6,885, Indianapolis, IN, 100 Miles Free Shipping",425,2.95,6,"Wed, 28 Dec 2022 14:30:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103148/
103149,"Truckload (24 Pallet Spaces) of UNMANIFESTED Salvage TVs, Indianapolis, IN",1,1.00,1,"Wed, 28 Dec 2022 14:33:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103149/
103150,"5 Pallet Spaces of Sporting Goods, Toys & Bikes & More, 21 Units, Ext. Retail $4,142, Indianapolis, IN, 100 Miles Free Shipping",147,7.00,4,"Wed, 28 Dec 2022 14:36:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103150/
103151,"Truckload (24 Pallet Spaces) of UNMANIFESTED Salvage TVs, Indianapolis, IN",1,1.00,1,"Wed, 28 Dec 2022 14:39:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103151/
103152,"6 Pallet Spaces of Toys & Bikes, Home Decor & More, 23 Units, Ext. Retail $3,007, Indianapolis, IN, 100 Miles Free Shipping",76,3.30,4,"Wed, 28 Dec 2022 14:42:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103152/
103153,"Truckload (20 Pallet Spaces) of UNMANIFESTED Salvage TVs, Indianapolis, IN",1,1.00,1,"Wed, 28 Dec 2022 14:45:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103153/
103130,"Truckload (25 Pallet Spaces) of Furniture & Luggage, Toys & Bikes & More, 305 Units, Ext. Retail $32,447, Las Vegas, NV, 100 Miles Free Shipping",525,1.72,7,"Wed, 28 Dec 2022 15:00:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103130/
103131,"2 Pallet Spaces of Appliances, 132 Units, Ext. Retail $4,042, Las Vegas, NV, 100 Miles Free Shipping",125,0.95,4,"Wed, 28 Dec 2022 15:05:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103131/
103132,"3 Pallet Spaces of UNMANIFESTED General Merchandise, Las Vegas, NV, 100 Miles Free Shipping",325,325.00,7,"Wed, 28 Dec 2022 15:10:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103132/
103133,"4 Pallet Spaces of UNMANIFESTED Home Entertainment, Las Vegas, NV, 100 Miles Free Shipping",1626,1626.00,6,"Wed, 28 Dec 2022 15:15:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103133/
103134,"Truckload (30 Pallet Spaces) of Furniture & Luggage, Toys & Bikes & More, 344 Units, Ext. Retail $29,772, Las Vegas, NV, 100 Miles Free Shipping",1025,2.98,8,"Wed, 28 Dec 2022 15:20:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103134/
103135,"4 Pallet Spaces of UNMANIFESTED Home Entertainment, Las Vegas, NV, 100 Miles Free Shipping",1626,1626.00,6,"Wed, 28 Dec 2022 15:25:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103135/
103136,"5 Pallet Spaces of Supplies, Toys & Bikes & More, 461 Units, Ext. Retail $15,437, Las Vegas, NV, 100 Miles Free Shipping",375,0.81,5,"Wed, 28 Dec 2022 15:30:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103136/
103137,"5 Pallet Spaces of Supplies, Toys & Bikes & More, 295 Units, Ext. Retail $12,903, Las Vegas, NV, 100 Miles Free Shipping",375,1.27,6,"Wed, 28 Dec 2022 15:35:00 -0800",https://liquidations.walmart.com/auction/auction/view/id/103137/
